hip,vmag
3,6.61
4,8.06
5,8.55
9,8.59
10,8.59
11,7.34
12,8.43
13,8.8
14,7.25
15,8.6
17,8.15
19,6.53
20,8.51
21,7.55
22,8.69
23,7.57
25,6.28
28,8.83
30,8.26
31,7.63
33,8.1
34,6.43
36,7.68
38,8.65
39,7.46
41,8.7
42,8.2
43,6.18
44,7.91
46,8.57
48,7.31
50,6.49
51,8.94
52,8.56
55,7.4
56,8.12
57,8.27
58,7.05
60,8.34
61,8.86
62,8.27
63,6.36
64,8.08
66,8.55
67,7.83
68,8.79
69,8.33
71,8.26
72,8.97
73,6.9
75,7.42
77,8.41
78,8.06
79,8.69
80,8.4
81,8.57
83,8.85
86,8.05
87,7.8
88,5.71
89,7.87
90,7.64
91,7.66
92,8.68
93,8.12
95,8.67
99,7.04
100,8.44
102,7.05
103,8.29
105,7.73
106,6.22
107,5.53
108,8.53
109,7.23
110,8.61
113,8.93
114,7.95
115,7.46
116,8.6
117,8.55
119,6.82
120,8.29
121,6.83
122,4.78
123,7.21
124,5.58
125,8.7
126,8.06
128,6.5
131,8.13
133,6.62
135,8.64
136,6.6
137,6.25
138,7.83
141,8.47
142,7.33
144,8.66
145,5.13
146,8.96
147,8.49
148,8.15
150,7.04
153,8.9
151,7.78
154,4.37
156,8.6
157,8.51
158,7.09
159,6.93
160,8.68
161,8.98
163,8.98
164,7.98
166,8.86
167,8.58
171,5.8
173,8.45
174,8.86
175,7.84
176,8.86
177,8.93
178,7.97
179,6.9
180,8.47
181,6.77
182,8.55
183,5.04
184,8.48
185,8.53
186,6.33
187,8.99
188,8.64
190,8.74
192,8.16
194,5.7
195,7.62
196,8.95
197,8.97
198,8.94
199,7.24
201,8.24
202,8.62
204,8.53
205,8.54
206,8.56
207,5.87
209,7.2
213,7.7
214,8.17
217,7.29
216,7.94
218,8.42
219,8.56
220,7.52
221,7.74
222,8.85
223,7.17
228,7.64
229,8.27
230,8.44
232,8.43
233,8.49
236,8.09
238,6.25
239,8.56
241,8.76
242,7.76
243,7.82
244,7.9
245,8.52
248,8.1
249,8.75
250,8.14
251,8.65
253,6.46
254,6.73
255,7.96
257,8.87
258,6.59
259,8.65
264,8.42
266,8.09
267,8.09
268,8.18
269,8.77
270,7.36
272,8.82
274,6.24
276,7.49
277,6.96
278,7.94
279,8.69
280,8.15
281,8.45
282,7.92
283,7.45
285,8.55
288,7.9
289,8.68
290,7.78
291,8.21
292,8.11
293,8.29
294,7.89
296,8.24
297,6.8
298,8.18
299,8.44
301,4.55
300,7.45
302,6.31
303,8.15
304,8.27
305,7.66
306,8.59
308,7.09
309,8.54
311,8.44
312,8.59
313,8.01
314,8.29
316,7.26
317,7.91
319,8.19
321,8.93
322,7.65
324,8.53
323,7.38
325,8.56
326,8.76
328,7.09
330,5.9
332,8.41
334,8.79
335,8.88
336,7.59
339,8.55
340,8.11
343,5.78
345,6.38
346,8.8
347,7.79
348,8.6
349,7.77
355,4.99
356,8.43
357,7.33
358,8.93
361,8.73
363,8.12
366,8.94
365,6.11
368,7.9
370,7.13
372,7.46
373,8.72
374,7.02
376,8.37
377,5.59
378,7.37
379,5.68
380,8.56
381,8.72
383,8.82
384,8.18
387,8.46
389,8.28
391,8.18
392,7.93
394,6.09
395,8.31
396,7.83
397,8.72
398,6.61
399,6.25
400,7.82
401,8.66
402,8.15
403,8.97
405,8.15
404,7.47
406,8.63
407,8.13
408,8.23
409,8.41
410,6.47
412,8.64
413,7.73
414,8.64
415,8.94
416,8.84
417,6.32
418,5.8
419,8.97
420,7.53
421,8.83
422,7.41
423,7.8
425,8.14
424,6.71
427,8.73
429,8.69
430,7.1
431,8.09
432,6.88
436,8.49
437,8.3
438,7.95
440,7.08
441,6.93
442,8.38
443,4.61
439,8.56
444,8.78
445,7.42
447,8.26
446,7.71
448,6.91
450,8.99
451,8.63
453,7.59
454,7.39
456,7.78
457,7.47
458,6.97
459,8.82
461,7.86
462,7.13
465,8.78
466,7.23
468,7.36
469,7.36
470,8.47
472,6.99
473,8.2
474,8.36
475,8.22
476,5.55
480,8.6
482,7.75
485,8.47
490,7.51
491,8.91
493,7.45
494,8.99
495,8.58
496,6.9
497,7.55
498,7.93
501,8.55
502,6.62
503,7.89
504,7.51
505,7.36
506,8.66
507,8.51
508,6.65
510,7.8
511,8.21
512,7.9
513,8.94
515,8.69
516,8.57
517,8.89
518,5.98
519,7.92
520,7.6
521,8.22
522,5.7
524,8.75
525,6.93
526,7.97
527,8.06
529,7.31
530,8.35
531,5.57
539,8.87
540,6.68
542,8.05
544,6.07
545,8.51
546,7.71
547,8.56
548,8.26
550,8.62
556,8.21
557,8.72
558,8.03
560,6.19
562,8.22
563,7.93
565,8.98
567,6.91
568,8.79
569,8.23
572,8.83
573,7.62
574,8.96
576,8.97
578,8.29
579,8.3
580,8.26
581,7.44
583,8.2
584,8.68
585,8.65
587,8.41
589,8.42
590,8.86
591,7.92
593,8.85
596,7.56
597,7.88
598,7.99
599,8.23
600,8.52
602,6.2
603,7.64
604,8.95
605,7.48
606,7.06
607,7.33
608,8.98
609,8.24
611,8.53
610,8.4
612,7.48
613,8.46
615,8.57
616,8.7
617,8.5
618,8.37
619,6.87
621,7.5
620,7.39
624,8.19
622,7.56
623,8.37
625,7.39
626,6.73
627,8.66
628,8.25
629,8.47
630,8.01
631,6.83
633,8.79
634,7.44
635,6.43
636,5.93
637,8.85
639,8.55
640,7.66
641,7.82
644,8.21
645,8.85
647,7.79
646,7.58
649,7.85
648,7.18
650,7.54
652,7.12
654,8.84
655,5.67
656,8.15
658,8.19
659,7.27
660,8.51
661,8.36
662,8.74
664,6.18
667,8.31
668,8.58
669,7.04
670,8.81
671,5.99
673,8.22
675,8.0
677,2.07
679,8.11
680,8.89
682,7.59
683,8.72
688,7.59
689,7.41
691,7.78
692,7.76
693,8.94
694,8.95
695,6.41
696,6.11
697,7.76
698,7.38
699,6.21
700,7.05
701,7.44
702,8.5
704,7.84
706,7.88
708,8.65
705,8.41
709,7.81
710,7.43
711,8.76
712,7.58
714,6.82
716,6.24
717,7.31
720,7.13
722,8.48
723,8.57
724,7.21
726,7.72
727,8.03
728,6.47
729,5.57
730,6.32
732,7.78
733,8.58
737,6.93
740,7.11
742,8.21
743,8.42
744,7.05
746,2.28
747,8.77
754,7.78
755,7.02
757,8.89
759,7.07
760,6.01
761,5.42
763,8.24
764,8.97
765,3.88
766,8.59
767,7.17
768,7.94
769,7.27
771,7.94
772,8.52
773,7.59
775,8.08
777,8.92
780,8.84
782,8.37
785,7.4
846,8.92
786,8.35
791,8.57
790,8.48
792,8.43
793,8.45
794,8.84
795,8.64
797,8.42
798,6.34
800,7.93
799,8.36
801,8.32
802,7.77
803,6.84
804,8.78
805,7.19
806,8.5
807,8.82
809,7.93
810,7.66
813,5.54
814,5.29
815,8.13
817,7.51
818,7.1
819,7.88
822,8.38
824,7.77
825,8.5
826,8.61
828,8.71
829,6.97
831,8.56
834,8.11
835,8.91
836,7.83
837,8.95
838,7.2
840,5.84
841,5.01
847,8.38
848,7.74
849,8.6
851,8.35
852,7.11
854,8.98
855,7.75
856,8.24
857,6.74
858,6.83
859,7.7
860,6.7
861,8.67
863,8.73
865,6.66
866,8.29
867,8.47
868,8.16
869,8.97
870,7.51
871,8.97
872,8.55
873,5.84
874,7.85
875,8.68
877,8.05
876,8.27
878,7.68
880,7.77
881,6.89
882,7.55
883,8.27
884,8.16
885,8.07
886,7.91
887,7.71
889,8.41
891,8.88
892,7.93
893,7.78
894,8.9
895,8.55
900,7.44
902,6.68
903,8.85
904,8.9
905,8.24
906,6.74
908,8.44
909,7.69
910,4.89
912,8.88
913,7.7
914,8.6
915,8.44
918,7.15
919,7.95
920,8.23
922,8.48
924,8.97
925,8.08
926,7.47
927,8.34
928,7.75
929,8.34
930,5.41
931,7.56
932,6.93
935,8.69
936,8.32
937,7.85
938,7.21
939,8.98
940,7.09
941,8.85
943,8.61
944,7.91
945,7.47
946,8.65
947,8.53
949,8.09
950,5.24
951,7.06
952,8.45
953,8.73
954,7.45
956,7.51
957,7.32
958,8.17
962,8.75
964,7.91
965,7.49
966,6.53
967,6.18
968,8.69
969,6.58
970,7.8
971,7.19
